,gender,seniorcitizen,partner,dependents,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,tenure,phoneservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,cust-loyality,family_member,subscription_count
74,Female,old,No,Yes,No,DSL,Yes,No,No,Yes,No,Yes,3,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,New,Singe With Dependents,3
75,Female,youth,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,56,Yes,One year,No,Electronic check,110.5,6139.5,No,Very Loyal,Single,5
76,Female,old,No,No,No,DSL,No,No,No,No,No,Yes,46,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Loyal,Single,1
77,Female,old,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,8,Yes,Month-to-month,No,Mailed check,54.65,482.25,No,New,Married With Dependents ,2
78,Male,youth,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes,30,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Loyal,Single,4
79,Female,old,Yes,Yes,Yes,No,No,No,No,No,No,No,45,Yes,One year,Yes,Credit card (automatic),25.9,1216.6,No,Loyal,Married With Dependents ,0
80,Female,old,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,1,Yes,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,New,Singe With Dependents,1
81,Female,old,Yes,Yes,unknown,DSL,Yes,No,No,No,Yes,Yes,11,No,Month-to-month,No,Electronic check,50.55,565.35,No,New,Married With Dependents ,3
82,Female,old,Yes,No,No,Fiber optic,No,No,Yes,No,No,No,7,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,New,Married,1
83,Female,old,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,42,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Loyal,Single,5
84,Female,old,Yes,No,No,No,No,No,No,No,No,No,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Very Loyal,Married,0
85,Male,old,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,9,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,New,Single,3
86,Female,old,Yes,No,No,DSL,Yes,No,No,No,Yes,No,35,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Loyal,Married,2
87,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,48,Yes,Two year,No,Bank transfer (automatic),20.65,1057.0,No,Loyal,Married With Dependents ,0
88,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,46,Yes,Two year,Yes,Mailed check,19.95,927.1,No,Loyal,Married With Dependents ,0
89,Male,old,Yes,No,unknown,DSL,No,No,No,No,Yes,No,29,No,Month-to-month,No,Mailed check,33.75,1009.25,No,Loyal,Married,1
90,Male,old,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,30,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,Loyal,Married With Dependents ,2
91,Male,youth,No,No,No,Fiber optic,No,No,No,Yes,No,No,1,Yes,Month-to-month,No,Electronic check,74.7,74.7,No,New,Single,1
92,Male,old,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,66,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,Very Loyal,Married With Dependents ,5
93,Female,old,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,65,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,Very Loyal,Single,5
94,Male,old,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,72,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Very Loyal,Single,4
95,Female,old,No,No,Yes,Fiber optic,Yes,No,No,No,No,No,12,Yes,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Somewhat Loyal,Single,1
96,Male,old,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,71,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,No,Very Loyal,Married With Dependents ,3
97,Male,old,No,No,No,No,No,No,No,No,No,No,5,Yes,Month-to-month,No,Mailed check,21.05,113.85,Yes,New,Single,0
98,Male,old,No,No,No,No,No,No,No,No,No,No,52,Yes,Two year,No,Bank transfer (automatic),21.0,1107.2,No,Very Loyal,Single,0
99,Female,youth,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,25,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,Loyal,Married,4
100,Male,old,No,No,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,No,Mailed check,20.2,20.2,No,New,Single,0
101,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,No,Electronic check,19.45,19.45,No,New,Married With Dependents ,0
102,Male,old,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,38,Yes,One year,No,Bank transfer (automatic),95.0,3605.6,No,Loyal,Single,3
103,Female,youth,Yes,No,unknown,DSL,No,Yes,Yes,No,Yes,No,66,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,Very Loyal,Married,3
104,Male,old,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,68,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,Very Loyal,Married,5
105,Male,old,No,No,unknown,DSL,No,No,No,No,No,No,5,No,Month-to-month,No,Mailed check,24.3,100.2,No,New,Single,0
106,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,72,Yes,One year,Yes,Electronic check,104.15,7303.05,No,Very Loyal,Married With Dependents ,4
107,Female,old,No,No,unknown,DSL,Yes,No,No,No,No,No,32,No,One year,No,Mailed check,30.15,927.65,No,Loyal,Single,1
108,Male,old,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,43,Yes,One year,No,Mailed check,94.35,3921.3,No,Loyal,Single,2
109,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,72,Yes,Two year,No,Credit card (automatic),19.4,1363.25,No,Very Loyal,Married With Dependents ,0
110,Male,old,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,55,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,Very Loyal,Married,3
111,Female,old,No,No,No,DSL,Yes,No,Yes,Yes,No,No,52,Yes,One year,No,Credit card (automatic),57.95,3042.25,No,Very Loyal,Single,3
112,Female,old,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,43,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,No,Loyal,Single,3
113,Female,youth,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,37,Yes,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,Loyal,Married,0
114,Female,old,Yes,Yes,unknown,DSL,No,Yes,No,Yes,Yes,Yes,64,No,Two year,Yes,Electronic check,54.6,3423.5,No,Very Loyal,Married With Dependents ,4
115,Male,old,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,3,Yes,Month-to-month,No,Electronic check,89.85,248.4,No,New,Married With Dependents ,3
116,Female,old,No,No,unknown,DSL,Yes,No,No,No,No,No,36,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,Loyal,Single,1
117,Female,old,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,10,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,New,Married With Dependents ,3
118,Female,old,No,No,No,No,No,No,No,No,No,No,41,Yes,Two year,No,Mailed check,20.65,835.15,No,Loyal,Single,0
119,Male,old,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,27,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,Loyal,Married With Dependents ,2
120,Female,old,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,56,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,Very Loyal,Married With Dependents ,3
121,Female,old,No,No,No,No,No,No,No,No,No,No,6,Yes,Month-to-month,No,Mailed check,20.7,112.75,No,New,Single,0
122,Male,old,No,No,Yes,Fiber optic,No,No,No,No,No,No,3,Yes,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,New,Single,0
123,Female,old,Yes,Yes,No,DSL,Yes,No,No,No,No,No,7,Yes,Month-to-month,No,Mailed check,50.7,350.35,No,New,Married With Dependents ,1
124,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,4,Yes,Month-to-month,No,Mailed check,20.85,62.9,No,New,Married With Dependents ,0
125,Male,old,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,33,Yes,Two year,Yes,Electronic check,88.95,3027.65,No,Loyal,Single,3
126,Female,youth,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,27,Yes,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,Loyal,Single,1
127,Male,old,Yes,No,Yes,No,No,No,No,No,No,No,72,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,Very Loyal,Married,0
128,Male,old,No,No,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,No,Mailed check,19.75,19.75,No,New,Single,0
129,Male,youth,No,No,unknown,DSL,Yes,Yes,No,No,Yes,Yes,71,No,One year,Yes,Electronic check,56.45,3985.35,No,Very Loyal,Single,4
130,Female,old,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,13,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No,Somewhat Loyal,Single,1
131,Female,old,Yes,Yes,unknown,DSL,Yes,Yes,Yes,No,Yes,Yes,25,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,Loyal,Married With Dependents ,5
132,Male,old,No,No,No,DSL,No,No,No,Yes,No,No,67,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,No,Very Loyal,Single,1
133,Male,old,No,No,unknown,DSL,No,No,No,No,No,Yes,1,No,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,New,Single,1
134,Male,old,No,No,No,DSL,No,No,No,No,No,No,2,Yes,Month-to-month,No,Electronic check,44.35,81.25,Yes,New,Single,0
135,Female,old,No,No,Yes,No,No,No,No,No,No,No,43,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2,No,Loyal,Single,0
136,Female,old,No,No,No,Fiber optic,Yes,No,No,No,No,No,23,Yes,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No,Somewhat Loyal,Single,1
137,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,64,Yes,Two year,No,Mailed check,20.2,1277.75,No,Very Loyal,Married With Dependents ,0
138,Male,old,No,Yes,No,No,No,No,No,No,No,No,57,Yes,Two year,Yes,Mailed check,19.6,1170.55,No,Very Loyal,Singe With Dependents,0
139,Female,youth,Yes,No,No,Fiber optic,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,New,Married,0
140,Female,youth,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No,Very Loyal,Married With Dependents ,6
141,Female,old,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,8,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,New,Single,3
142,Female,old,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,61,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No,Very Loyal,Married,3
143,Male,old,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,64,Yes,One year,Yes,Credit card (automatic),84.3,5289.05,No,Very Loyal,Single,2
144,Male,youth,Yes,No,Yes,No,No,No,No,No,No,No,71,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2,No,Very Loyal,Married,0
145,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,65,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,No,Very Loyal,Married With Dependents ,4
146,Male,old,No,No,No,No,No,No,No,No,No,No,3,Yes,One year,No,Mailed check,19.6,61.35,No,New,Single,0
147,Male,old,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,New,Single,0
148,Male,old,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No,30,Yes,One year,No,Credit card (automatic),64.5,1929.95,No,Loyal,Singe With Dependents,3
149,Male,old,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,15,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,No,Somewhat Loyal,Married With Dependents ,4
150,Female,old,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,8,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No,New,Married With Dependents ,3
151,Male,old,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,7,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,New,Single,2
152,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,70,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,No,Very Loyal,Married With Dependents ,5
153,Male,old,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,62,Yes,Two year,No,Electronic check,86.1,5215.25,No,Very Loyal,Married With Dependents ,6
154,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,6,Yes,Month-to-month,No,Mailed check,19.7,113.5,No,New,Married With Dependents ,0
155,Female,old,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,14,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No,Somewhat Loyal,Married With Dependents ,1
156,Female,old,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,22,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No,Somewhat Loyal,Single,1
157,Male,old,Yes,Yes,No,No,No,No,No,No,No,No,22,Yes,One year,No,Mailed check,20.15,419.9,No,Somewhat Loyal,Married With Dependents ,0
158,Male,old,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,No,16,Yes,Two year,No,Mailed check,64.25,1024.0,No,Somewhat Loyal,Married With Dependents ,3
159,Male,old,No,No,Yes,No,No,No,No,No,No,No,10,Yes,Two year,No,Bank transfer (automatic),25.7,251.6,No,New,Single,0
160,Female,old,No,Yes,No,DSL,Yes,Yes,No,No,No,No,13,Yes,Month-to-month,Yes,Electronic check,56.0,764.55,No,Somewhat Loyal,Singe With Dependents,2
161,Female,old,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,20,Yes,Month-to-month,No,Electronic check,82.4,1592.35,Yes,Somewhat Loyal,Married,1
162,Female,old,No,No,No,Fiber optic,No,No,No,No,No,No,2,Yes,Month-to-month,Yes,Electronic check,69.7,135.2,No,New,Single,0
163,Male,old,No,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,53,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No,Very Loyal,Single,4
164,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,11,Yes,One year,No,Mailed check,20.6,233.9,No,New,Married With Dependents ,0
165,Male,old,Yes,No,No,No,No,No,No,No,No,No,69,Yes,Two year,No,Mailed check,19.9,1363.45,No,Very Loyal,Married,0
